"corporacion","circunscripción","partido","partido1","candidato","genero","descipcion_movimiento"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","MAGDALENA GONZALEZ CARDALES","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","NOELLY QUITIAN MAYOR","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","NARA ESTHER MARTINEZ JIMENEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANGELICA MARIA PEREIRA MUÑOZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","DANNY SEQUEDA BECERRA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ALONSO CAICEDO MONTANO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JORGE ENRIQUE CASALINS TELLO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JUAN CARLOS ALMANZA SALGADO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HERNANDO ENRIQUE GALOFRE MANOTAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","EDGAR ESPINDOLA NIÑO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JORGE ENRIQUE AMEZQUITA SOTO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ELEAZALDE SEGUNDO SALCEDO ARROYO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","YURANI SCARPETTA BEDOYA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","FABIAN ORLANDO RIVERA CARRILLO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","FERNANDO ZORNOSA GALOFRE","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CESAR ENRIQUE CASTRO RIOS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","LEIDY TATIANA PALACIOS MAYORGA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANA ELIZABETH ANGULO ACEVEDO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ISAIAS CHALA IBARGUEN","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CARLOS ALBERTO CORDOBA PEÑATE","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CANDELARIA PATRICIA ROJAS VERGARA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JULIO CESAR LOPEZ PUENTES","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","SAMUEL ARTURO FRANCO CARDONA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","LEDA PAOLA MOSQUERA RODRIGUEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","OSCAR JAIME CARDOZO ESTRADA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ILIA MARIA QUINTERO MELECIO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ALFREDO GUILLERMO MOLINA TRIANA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANDRES FELIPE ORTIZ SUAREZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","VICTOR TORRES BLANCO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANDRES MAURICIO ROZO MURCIA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CARLOS JULIO CARRILLO COLMENARES","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HUGO ALBERTO OSPINA AGUDELO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","FREDY ALEXANDER MUÑOZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ROLAN ENRIQUE GUZMAN DIAZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","DEYBIS MARTINEZ GUERRA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","LEONARDO VALVERDE CEBALLOS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ESAUD URRUTIA NOEL","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JOSE EDUARDO BIOJO CASTILLO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CLAUDIA ROCIO ROZO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","SONIA ELIZABETH MALAGON VELOZA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JUAN PABLO VIAFARA GARCIA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ARGEMIRO JOSE AGAMEZ PALACIO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CARMEN SOFIA LOPEZ PORTILLO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","MADELEINE LASCARRO RODRIGUEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","BRICEIDA MARIA BOLIVAR OROZCO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HECTOR HERNAN CHARRY RUJANA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","GEORGE HAMILTON MARTINEZ MORENO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","LENAN JISELL DIAZ IGUARAN","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","LIBARDO ANTONIO LUNA LUNA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","GELMAN FERNANDO MUNERA PUERTA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","MIREYA NELSY PATIÑO ARIZA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","FREDY VALENCIA ACOSTA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HAROLD ANDRES VALENCIA PINO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ALBA LUZ MONTALVO VALDERRAMA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JORGE ALI MURILLO AGUILAR","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CAROLINA BUSTAMANTE ZULUAGA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CLAUDIA SOFIA LEMOS LEMOS","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","OMAR ALBERTO SILVA JIMENEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","PABLO ANTONIO BUSTACARA LARGO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","GENTIL FAJARDO MOLINA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HUMBERTO SANCHEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","RUBIEL ANTONIO CELIS NOREÑA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JORGE ANDRES GONZALEZ SILVA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CLARA STEFANIA PAREDES","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","GIOVANNI ROSENTHAL SERRANO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","HERNANDO MUNEVAR CABALLERO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","WASLDISTRUDIS HURTADO MINOTTA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","MAGDA BEATRIZ LOPEZ VERGEL","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANA ELIZABETH SANDOVAL MOJICA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","ANA MILENA CASTRO MEJIA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","GABRIEL FERNANDO RUBIANO PIÑEROS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","MARTHA DEBBIE AGUILAR COBO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","CAROLINA FRANCO CUELLAR","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","EDIBERTO MURILLO TELLO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","SERVULO EFRAIN GANCINO RAMIREZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","BERNER LEON ZAMBRANO ERASO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO DE LA UNIÓN POR LA GENTE","","JUAN CARLOS GARCES ROJAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MIGUEL URIBE TURBAY","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JOSUE ALIRIO BARRERA RODRIGUEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MILLA PATRICIA ROMERO SOTO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ENRIQUE CABRALES BAQUERO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","EDWARD DAVID RODRIGUEZ RODRIGUEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","PAOLA ANDREA HOLGUIN MORENO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","HONORIO MIGUEL HENRIQUEZ PINEDO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","SANTIAGO VALENCIA GONZALEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CARLOS MANUEL MEISEL VERGARA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","PALOMA SUSANA VALENCIA LASERNA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CIRO ALEJANDRO RAMIREZ CORTES","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JONATAN TAMAYO PEREZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","GABRIEL JAIME VELASCO OCAMPO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JAIME ANDRES MOTTA LARA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","YENNY ESPERANZA ROZO ZAMBRANO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JULIA CORREA NUTTIN","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JOSE VICENTE CARREÑO CASTRO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MILLER JESUS SOTO SOLANO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","NELLY PATRICIA MOSQUERA MURCIA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ALVARO HERNAN PRADA ARTUNDUAGA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","LIZ GERALDINE ROBAYO GUTIERREZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","RICARDO ALFONSO FERRO LOZANO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ESTEBAN QUINTERO CARDONA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","OSWALDO FERRI ORTIZ RAMOS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","LUIS HERLINDO MENDIETA OVALLE","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ALVARO FRANCISCO HERRERA SEQUERA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","VANESSA ALEXANDRA MENDOZA BUSTOS","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CLAUDIA JANETH HERRERA VILLARREAL","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JUAN MANUEL DAZA IGUARAN","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","DIANA LUCIA VIDAL CAICEDO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ALEJANDRO CORRALES ESCOBAR","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","INDALECIO DANGOND BAQUERO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","HELGA LORENA ANGARITA CROSWAYTHE","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","SIMON ALFREDO GAMBOA GARCIA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JOSE ANTONIO VITONAS YATACUE","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","YIMMY ALBERTO BURBANO ALVAREZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","LUIS FERNANDO RESTREPO GOMEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","GILMA DEL SOCORRO SOSSA ISAZA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","NESTOR DIAZ SAAVEDRA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JOHN HAROLD SUAREZ VARGAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MAX PLANCK GOMEZ RODRIGUEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","YOHANA SALAMANCA JIMENEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MARIA EUGENIA CUELLAR REINA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CLARA LUCIA BELTRAN GONZALEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","DIEGO JOSE TOBON ECHEVERRI","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JAYSON JACOB TAYLOR DAVIS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MARIA ANGELICA GUERRA LOPEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JIMENA ALEXANDRA ORJUELA AVENDAÑO","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","GINNA MARCELA CASTILLO GUTIERREZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ALEXANDER VEGA RINCON","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","HECTOR AUGUSTO LOPEZ CASTAÑEDA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","MONICA ALEJANDRA CERVERA MURILLAS","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","JEHPHIR EDGAR VILLARREAL SERRANO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","EDWARD GARNICA MONTAÑEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","SUSANA ANGELICA CRUZ ZAPATA","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ANIER AUGUSTO MARIN LOPEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","EMPERATRIZ RODRIGUEZ SUAREZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CARLOS ALBERTO RIAÑO JIMENEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","GUSTAVO ADOLFO GOMEZ SIERRA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","CIDENIA ROVIRA ROJAS","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ALFONSO ENRIQUE ARROYO NAVARRO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","ANDRES FELIPE GUERRA HOYOS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO CENTRO DEMOCRÁTICO","","VIRGINIA SEGUNDA NAVARRO LAMADRID","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
