,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
0,"Yenica Sugein Acosta Infante, es una gestora social y política, nacida el 11 de febrero de 1980 en Leticia, capital del Amazonas.Es bachiller académica de la Escuela Normal Superior de Leticia; odontóloga de la Fundación Universitaria San Martín y certificada como Epidemióloga de Campo, egresada del FETP-SEA del Instituto Nacional de Salud. Tiene un posgrado en vigilancia Sanitaria, Epidemiológica y Ambiental del Instituto de Ensino Superior Blauro Cardoso de Mattos en Brasil.Cuenta con experiencia en el sector social y de la salud, desempeñando el cargo de coordinadora Epidemiológica (2007), de Salud Pública (2008 -2010) y Secretaria de Salud (2011) en Leticia. Además, fue Gestora Departamental de Primera Infancia (2012-2013). Siendo Secretaria de Desarrollo Social de Leticia (2015-2017), lideró con éxito el programa contra la drogadicción “Yo hago parte del cambio”, permitiendo rescatar a jóvenes que se encontraban en ese flagelo; esta iniciativa social le valió un reconocimiento en la ciudad de Lima, Perú.Académicamente, ha recibido reconocimientos en Colombia, México y Honduras por sus importantes aportes en el campo de la Epidemiología en el Amazonas, con ponencias sobre madres gestantes adolescentes.Es la primera mujer electa como Representante a la Cámara por la circunscripción del departamento del Amazonas, para el Periodo Constitucional 2018 – 2022 y reelecta para el periodo 2022-2026; miembro de la bancada del Partido Centro Democrático.Fue electa Presidente de la Comisión Cuarta Constitucional o de Presupuesto para el periodo 2021-2022 y Vicepresidente de la Comisión Legal de los Derechos Humanos y Audiencias para el periodo 2019-2020.Desde el Congreso de la República, legisla a favor de varias causas sociales, como el empoderamiento femenino y la formación de nuevos liderazgos; defensa de la soberanía del país en las zonas de frontera, que permita al departamento del Amazonas fortalecer las relaciones comerciales, aduaneras, sociales y políticas con Brasil y Perú; protección de la autonomía y autodeterminación de las comunidades indígenas, proponiendo prerrogativas con enfoque diferencial en la aplicación de todos los programas del Estado y; defensa de la conservación de los ecosistemas y fuentes hídricas del bioma amazónico, visibilizando la importancia de cumplir los acuerdos en materia ambiental para evitar la minería ilegal, tráfico de fauna y flora, la deforestación y el desplazamiento de los asentamientos indígenas.",Yenica Sugein Acosta Infante,Centro Democrático,https://www.instagram.com/yenicanosune/,https://www.facebook.com/YenicaNosUne,,,,https://twitter.com/yenicanosune,Circunscripción Territorial de Amazonas en Amazonas,Especialización,Ciencias de la Salud,2022 - 2026,11 de febrero de 1980,43,Leticia,Femenino,3214181533,405B Ed. Nuevo del Congreso,4325100 ext: 4311 - 4312 - 4314,yenica.acosta@camara.gov.co,
1,"Abogado. Magister estudios políticos, especialista en derecho contencioso administrativo y derecho administrativo.Se ha destacado en cargos como: Fiscal de las Unidades de Vida y Patrimonio Económico en la Fiscalía Seccional Atlántico, Juez Especializado, Juez de Instrucción Criminal de Barranquilla, Inspector móvil de policía de la Secretaria de Gobierno Municipal de la misma ciudad, Secretario Jurídico del Municipio de Soledad (Atlántico) y Secretario Jurídico del Departamento del Atlántico.Mas recientemente se desempeñado en cargos públicos, como Alcalde Encargado del Municipio de Soledad, Secretario de Educación del Departamento del Atlántico, Alcalde Encargado de la Ciudad de Barranquilla y secretario de Gobierno de la misma entidad.Fuente: http://www.partidocambioradical.org/portfolios/rodrigo-lara-5-3-2/",Modesto Enrique Aguilera Vides,Cambio Radical,https://www.instagram.com/modestoaguilera/,https://www.facebook.com/ModestoAguileraVides,,,,https://twitter.com/AguileraModesto,Circunscripción Territorial de Atlántico en Atlántico,Maestría,Abogado/a,2022 - 2026,12 de febrero de 1959,64,Barranquilla,Masculino,,427 - 428 - Ed. Nuevo del Congreso,4325100 ext: 3812 - 3813 - 3814,modesto.aguilera@camara.gov.co,https://bit.ly/3sYRzcR
2,Administradora de empresas y especialista en servicios públicos de la Universidad Externado de Colombia,Ingrid Johana Aguirre Juvinao,Fuerza Ciudadana,https://www.instagram.com/ingrid_aguirre12/,https://www.facebook.com/ingridaguirre11,,,,https://twitter.com/ingridaguirre11,Circunscripción Territorial de Magdalena en Magdalena,Especialización,Administrador/a de empresas,2022 - 2026,12 de mayo de 1980,43,Ciénaga,Femenino,,,,,
3,"Antiguo excombatiente de las Farc y prácticamente su representante diplomático en el exterior.En 2016 llegó al país desde Cuba para liderar el MM&V como vocero de la guerrilla. En La Habana estuvo desde 2012, en los encuentros exploratorios con el gobierno de Juan Manuel Santos y tiempo después hizo parte de la delegación de paz cuando comenzaron los diálogos formalmente.Fuente: https://colombia2020.elespectador.com/politica/marco-calarca-un-diplomatico-guerrillero-que-llega-al-congreso",Luis Alberto Albán Urbano,Comunes,https://www.instagram.com/albancomunes/,https://www.facebook.com/profile.php?id=100004320549081,,,,https://twitter.com/AlbanComunes,Circunscripción Territorial de Valle del Cauca en Valle del Cauca,Universitaria,Docente,2022 - 2026,16 de agosto de 1957,65,Cali,Masculino,,Capitolio Nacional - Salón Amarillo,4325100 ext: 3830,luis.alban@camara.gov.co,
4,"Licenciada en Ciencias Sociales de la Universidad del Tolima, con especialización en Salud Social y Comunitaria.",Martha Lisbeth Alfonso Jurado,Pacto Histórico Coalición,,https://www.facebook.com/MarthaAlfonsoJ,,,,https://twitter.com/MarthaAlfonsoJ,Circunscripción Territorial de Tolima en Tolima,Especialización,Docente,2022 - 2026,22 de julio de 2022,Sin edad asignada,Líbano,Femenino,,,,,
5,"Líder reclamante de tierras, defensor y ambientalista.Trayectoria pública y privada en la que no se reporta año: Voz activa del proceso de paz de la Habana y miembro de la Organización Comunidades Construyendo Paz -CONPAZCOL-.",William Ferney Aljure Martínez,Asocamproariari - Asociación de Campesinos Productores del Bajo Ariari,https://instagram.com/willianaljure?igshid=YmMyMTA2M2Y=,https://web.facebook.com/willianferney.aljuremartinez.7/?locale=ms_MY&_rdc=1&_rdr,,,,https://twitter.com/WillianAljure,C Transitoria Especial de Paz - CITREP en Meta,Bachillerato,No profesional,2022 - 2026,19 de marzo de 1978,45,Villavicencio,Masculino,,622 Edificio Nuevo del Congreso,,willian.aljure@camara.gov.co,
6,"El magangueleño es pariente de los Arana en Magangué y también de los Padauí, apellidos de políticos en esa su ciudad natal, pero ha hecho política incluso, dice “con Marcelo Torres que es de la Alianza Verde”. “He hecho política con mi tío Anuar Arana que fue alcalde de Mangangué; y a mi tío el representante a la Cámara Hernando Padauí, lo quiero mucho pero somos de cuerdas políticas distintas”.Yamilito, como se da a conocer, es economista de la Universidad de Los Andes. Apoyado por el representante Pedrito Pereira, dice que uno de sus sueños es “continuar el proyecto que empezamos con la senadora del partido, Nadia Blel, y es cambiar la forma como se hace política en Bolívar; por eso estamos hoy con ella, para desde la Cámara gestionar los recursos que el departamento necesita”.El candidato expresa que “un propósito en esta campaña con la senadora es legislar estos 4 años desde los barrios, desde los corregimientos, los municipios, las veredas en Bolívar”.Información tomada de: http://bit.ly/2Cy75iv",Yamil Hernando Arana Padauí,Conservador Colombiano,https://www.instagram.com/yamilitoarana/,https://www.facebook.com/yamilaranap/,,,,https://twitter.com/YamilArana,Circunscripción Territorial de Bolívar en Bolívar,Especialización,Economista,2022 - 2026,5 de diciembre de 1990,32,Magangué,Masculino,,231B - 232B Ed.Nuevo del Congreso,4325100 ext: 3297,yamil.arana@camara.gov.co,
7,"Comunicadora social de la Universidad Politécnico Gran Colombiano, especialista en gerencia y mercadeo de la UTB y magister en dirección de comunicación corporativa de la Universidad de Barcelona.http://julianaaray.com/2022/01/12/juliana-aray-c102-a-la-camara-por-bolivar/",Juliana Aray Franco,Conservador Colombiano,https://www.instagram.com/julianaarayfranco/,https://www.facebook.com/julianaarayfranco,,,,https://twitter.com/juliana_aray,Circunscripción Territorial de Bolívar en Bolívar,Maestría,Comunicador/a social,2022 - 2026,20 de julio de 2022,Sin edad asignada,Cartagena,Femenino,,209 - 210 - Edificio Nuevo del Congreso,(57) (601) 3904050 Ext: 3290 - 3294,juliana.aray@camara.gov.co,
8,"Abogada de la Universidad San Buenaventura de Cali, especialista en Dirección y Gestión de Proyectos de la Universidad Sergio Arboleda y candidata a Magister en Derecho Administrativo de la misma universidad.https://concejodebogota.gov.co/concejo/site/edic/base/port/adrianaarbelaez.php",Adriana Carolina Arbelaez Giraldo,Cambio Radical,,https://www.facebook.com/caroarbelaezconcejal,https://www.linkedin.com/in/adriana-carolina-arbelaez-872661112/?originalSubdomain=co,,,https://twitter.com/kroarbelaez,Circunscripción Territorial de Bogotá en Distrito Capital,Especialización,Abogado/a,2022 - 2026,20 de julio de 2022,Sin edad asignada,Bogotá,Femenino,,512 - 513 Edificio Nuevo del Congreso,,carolina.arbelaez@camara.gov.co,
9,Abogado de la Universidad del Meta y especialista en Gestión Pública de la ESAP. Trayectoria pública y privada en la que no se reporta año: Secretario General de la Corporación Autónoma de la Orinoquía (Corporinoquia); Jefe de la Oficina Jurídica del Instituto Financiero de Casanare (IFC) y Gerente General del Instituto Financiero de Casanare (IFC).,Hugo Alfonso Archila Suárez,Liberal Colombiano,https://www.instagram.com/hugo_archila_20/,https://www.facebook.com/profile.php?id=100078217907262,,,,https://twitter.com/hugoarchila2022,Circunscripción Territorial de Casanare en Casanare,Universitaria,Abogado/a,2022 - 2026,20 de marzo de 1981,42,Yopal,Masculino,,326B - 327B - Edificio Nuevo del Congreso,(57) (601) 3904050 Ext: 3388,hugo.archila@camara.gov.co,
