,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
0,"Hombre de familia, dedicado a la política, con un pensamiento abierto siempre a ayudar a la comunidad más necesitada.Laureano Augusto Acuña Díaz es Senador de la República, del partido Conservador desde 2014 y fue Representante a la Cámara por el departamento del Atlántico (2010 – 2014).http://laureanoacuna.com/perfil/Información en el Sigep: https://bit.ly/2PlG5vN",Laureano Augusto Acuña Díaz,Conservador Colombiano,,https://www.facebook.com/laureanoacudiaz/info,,,,https://twitter.com/LaureanoAcuDiaz,Circunscripción Nacional en ...,Bachillerato,Estudiante,2018-2022,25 de marzo de 1971,52,Barranquilla,Masculino,300 276 0634 / 316 389 9813,211B Ed. Nuevo Congreso,382 3000 ext: 3262 - 3780,laugatubelo@hotmail.com,
1,"La congresista Agudelo, con nacionalidad colombiana y española, es graduada en Negocios Internacionales de la Universidad del Tolima (Colombia), Master en Economía Social de la Universidad de Valencia (España) En el año 2016 se graduó como Especialista en Gestión Pública y Control Fiscal, de la Universidad del Rosario; actualmente adelanta sus estudios de Doctorado en Economía Social y Entidades no Lucrativas, en la Universidad de Valencia EspañaFuente: http://anapaolaagudelo.com/quien-es-ana-paola-agudelo/",Ana Paola Agudelo García,MIRA - Colombia Justa Libres,,https://www.facebook.com/AnaPaolaAgudelo,,,,https://twitter.com/AnaPaolaAgudelo,Circunscripción Nacional en Distrito Capital,Maestría,Mercadeo / Negocios Internacionales,2022 - 2026,8 de mayo de 1983,40,Ibagué,Femenino,622598727,617- 618 Ed. Nuevo Congreso,382 3000 ext: 3609 - 3610 - 3726,,https://www.youtube.com/user/anapaolaagudelo
2,"Abogado de la Universidad de Medellín, para el año de 1998 ya se desempeñaba como catedrático de la Facultad de Contaduría y Derecho de la misma universidad. De igual manera era abogado asesor de la Secretaría de Gobierno de Antioquia en el área de Derechos Humanos y Derecho Internacional Humanitario.Luego se desempeñó como abogado de la secretaría de Hacienda del Departamento. Como funcionario del Departamento de Antioquia fue elegido por parte de los miembros del fondo de empleados como integrante de su Junta Directiva, y luego como Presidente de el Comité de Control Social del mismo.Sus estudios de derecho fueron complementados con estudios en profesionalización en pedagogía, arbitraje y conciliación así como diferentes estudios en derechos humanos y derecho internacional humanitario y especialización en derecho empresarial.A los 36 años fue elegido como miembro de la Honorable Consiliatura de la Universidad de Medellín, actualmente hace parte de la Asamblea General de la misma Universidad.En el año 2003 fue nombrado Personero Delegado en el área Penal del Municipio de Medellín cargo al cual renunció en octubre 5 del 2006 para buscar el respaldo popular a la Asamblea Departamental de Antioquia de la cual hizo parte con una de las mejores votaciones.Después de 2 periodos en la Cámara de Representantes (2010-2014 y 2014- 2018) presenta su candidatura al Senado.Enlace Sigep: https://bit.ly/2w65WkC",Iván Darío Agudelo Zapata,Liberal Colombiano,,https://www.facebook.com/ivandarioagudeloz,,,,https://twitter.com/IvanAgudeloZ,Circunscripción Nacional en ...,Especialización,Abogado/a,2018-2022,15 de agosto de 1967,55,Medellín,Masculino,301 578 7353,Mez. Norte Ed. Nuevo Congreso,382 3000 ext: 3150 - 3151,juntosconivan@gmail.com,https://bit.ly/3tG6GqM
3,"Abogado (Universidad Sergio Arboleda) Máster en Derechos - Estudios Legales Internacionales (2007) Universidad de Georgetown, Washington D.C Estados Unidos y político. Mi carrera pública empezó en el 2002 como pasante del Ministerio de Comercio, pero fue el hecho de haber vivido prácticamente encerrado y controlado por un esquema de seguridad cuando era muy pequeño, lo que me hizo desarrollar una sensibilidad increíble hacia la gestión pública, ya que entendí que desde ahí podía generar cambios.En 2004 fui delegado ante la personería local de chapinero, luego desde el 2005 y hasta el 2007 adelanté estudios en Derecho Internacional en las universidades de Pennsylvania y Georgetown, donde me gradué como magister en Estudios Legales Internacionales. También tuve la oportunidad de estudiar liderazgo y resolución de conflictos en la universidad de Harvard.En 2007 regresé a Colombia y fui asesor jurídico y financiero de la División Financiera y Presupuesto del Senado de la República, fui profesor de derecho internacional privado de la Universidad Manuela Beltrán y Asesor Legal Externo de la notaría 45 de Bogotá.Luego en el 2008 fui nombrado Cónsul General de Colombia en Santiago de Chile (Chile) y en marzo de 2011, con solo 29 años, regresé al país para asumir uno de los retos más importantes de mi vida: una candidatura cívica a la gobernación de Santander con el respaldo de un movimiento significativo de firmas que me permitió obtener la mayor votación en las urnas con un total de 481.924 votos.Tomado de: http://richardaguilar.co/perfil/https://www.facebook.com/pg/richardaguilar26/about/?ref=page_internal",Richard Alfonso Aguilar Villa,Cambio Radical,,https://www.facebook.com/richardaguilar26/,,,,https://twitter.com/RICHARDAGUILARV,Circunscripción Nacional en ...,Maestría,Abogado/a,2018-2022,26 de septiembre de 1981,41,Bucaramanga,Masculino,,340B Ed. Nuevo Congreso,382 3000 ext: 3335,,
4,Arquitecto de la Universidad Pontificia Bolivariana. Secretario de Obras Públicas del Departamento del Atlántico. Concejal de Barranquilla por 14 años. Profesor Universitario.Presidente de la Comisión Cuarta del Senado de la República 2015-2016.Ha sido Senador y dos veces Representante a la Cámara.,Miguel Amín Escaf,Partido de la U - Partido de la Unión por la Gente,,https://www.facebook.com/pages/Miguel-Amin-Oficial/732501546782767?ref=ts&fref=ts,,,,https://twitter.com/miguel_amin,Circunscripción Nacional en ...,Universitaria,Arquitecto/a,2018-2022,5 de septiembre de 1948,74,Barranquilla,Masculino,315 721 7134 - 301 578 6716,310 - 312 Ed. Nuevo Congreso,382 3000 ext: 3305 - 3367 - 3385 - 3386 - 3740,miguel.amin@camara.gov.co,https://www.youtube.com/channel/UCUzcQQSCTjwKQWiEWyYff7A
5,"Economista de la Universidad Javeriana. Especialista en Gobierno y Gestión Púbica de la misma universidad. Se desempeñó como Secretario General de la Alcaldía de Lorica, para luego pasar a la Asamblea Departamental de Córdoba (2004-2005) que presidió en su momento. Después de 3 periodos en la Cámara de Representantes (2006 – 2010; 2010 – 2014 y 2014 – 2018) presenta su candidatura al Senado.Tomado de: https://partidoliberal.org.co/PartidoLiberalSenadores2018/?id=56#gallery-2",Fabio Raúl Amín Saleme,Liberal Colombiano,,https://www.facebook.com/FabioAminSaleme/,,,,https://twitter.com/fabioaminsaleme,Circunscripción Nacional en Córdoba,Especialización,Economista,2022 - 2026,15 de octubre de 1976,46,Lorica,Masculino,301 578 6681,Capitolio 1 Piso,382 3000 ext: 5051 - 5052,fabio.amin@camara.gov.co,https://bit.ly/3HZw0NB
6,"Esperanza Andrade actualmente se desempeña como Senadora de la República representando al Partido Conservador Colombiano.Es una experimentada abogada, graduada de la Universidad Externado de Colombia. Realizó especializaciones en Derecho Comercial y Público.Es madre de Paola Andrea, María Margarita y Carlos Felipe, y abuela de Emilio José, Esteban y Emmanuel.Cree firmemente en la familia y en la imperiosa necesidad de velar por los derechos de los niños, las mujeres y la familia, para la construcción de una sociedad más equitativa, justa y solidaria.",Esperanza Andrade Serrano,Conservador Colombiano,https://www.instagram.com/esperanzaandradeserrano/?hl=es-la,https://www.facebook.com/EsperanzaAndradeSerrano/?ref=br_rs,,,,https://twitter.com/EsperanzaSenado,Circunscripción Nacional en Huila,Especialización,Abogado/a,2022 - 2026,14 de marzo de 1957,66,Neiva,Femenino,315 8036506,Mez. Sur Ed. Nuevo Congreso,382 3000 ext: 3162 - 3163 - 3165,,https://bit.ly/3hYA46g
7,"Este administrador de empresas de los Andes, con maestría en administración del Inalde, trabajó en la empresa familiar Prodegi y luego entró a dirigir la Promotora de Desarrollo del Bolívar, una empresa que busca fomentar las inversiones en diferentes sectores en el departamento. Por ese cargo, Araújo recorre cotidianamente Bolívar, lo que es muy útil para la campaña. Es hijo del ex canciller Fernando Araújo y hermano de Luis Ernesto, ex director de la Corporación de Turismo de Cartagena. La familia Araújo, de tradición conservadora, es la dueña del hotel Las Américas y accionista importante del diario El Universal.Fuente: http://lasillavacia.com/content/estos-son-los-candidatos-al-senado-46581Enlace Sigep: https://bit.ly/2T0RNyu",Fernando Nicolás Araújo Rumié,Centro Democrático,,https://www.facebook.com/SenadorFernandoNicolas/,,,,https://twitter.com/FNAraujoR,Circunscripción Nacional en ...,Maestría,Administrador/a de empresas,2018-2022,16 de mayo de 1983,40,Cartagena,Masculino,,319B - 320B Ed. Nuevo Congreso,382 3000 ext: 3359 - 3414,,https://bit.ly/3MJDJTB
8,"Representante a la Cámara por el Valle del Cauca (2010-2014), Concejal del municipio de Cali (2008-2009) por el PDA. Dirigente sindical y líder político desde toda la vida.Desde su temprana adolescencia se hace militante de izquierda y al ingresar al SENA como aprendiz, funda el Comité Estudiantil del SENA y el Círculo de Estudios e Investigaciones del SENA; posteriormente, es elegido presidente de la Federación Juvenil Obrera. Ha sido miembro fundador del Taller Político José Cardona Hoyos; Presidente de SINDESENA y miembro de los comités ejecutivos Departamental y Nacional de la CUT,Se ha desempeñado como:• Asesor del sector laboral de la Junta Directiva de INSAFOR, Instituto Salvadoreño de Formación Profesional.• Conferencista del Centro Internacional de investigaciones de la Formación Profesional, CINTERFOR, con sede en Montevideo, en seminarios internacionales de la OIT sobre educación y de las Comisiones Obreras de en España.• Fue designado Vocero Único de la ocupación pacífica de la Torre Administrativa del CAM por los trabajadores de las Empresas Municipales de Cali - EMCALI (1998), acompañada de una gran movilización social y conducente a un Acuerdo del Concejo Municipal que prohíbe la venta o enajenación de EMCALI por un siglo• Articulista y ensayista para diversa revistas y periódicos institucionales, sociales y populares.• La fundación del Círculo de Estudios Pedagógicos y de la formación Profesional CEPEF ha permitido a Wilson Arias, su confundador, tener el espacio académico para la discusión y análisis de lo educativo y develar en su revista, jornadas pedagógicas y congresos, los lesivos desenlaces de la política neoliberal tanto en la educación como aparato productivo nacional.• Fue uno de los Jefes de Debate para el Valle del Cauca, en la Campaña Presidencial de Carlos Gaviria Díaz.Enlace Sigep: https://bit.ly/2v71jqJ",Wilson Neber Arias Castillo,Pacto Histórico Coalición,,https://www.facebook.com/WilsonAriasC/,,,,https://twitter.com/wilsonariasc,Circunscripción Nacional en Valle del Cauca,Técnica,Sin profesión,2022 - 2026,17 de diciembre de 1962,60,Cali,Masculino,311 6352065,637 B,3823000 ext 3275/3763,,https://bit.ly/3t1uk1Y
9,"Aída Avella Esquivel es psicóloga de la Universidad Nacional y cuenta con una importante trayectoria como dirigente social y política en la ciudad y el país. Fue constituyente de la Asamblea Nacional de 1991, concejal de Bogotá entre 1992 y 1996, y candidata a la Vicepresidencia en las elecciones presidenciales de 2014 por la alianza entre el Polo Democrático Alternativo y la Unión Patriótica. En el movimiento sindical, como trabajadora del Ministerio de Educación Nacional, ocupo varias responsabilidades destacándose su papel como Presidenta Nacional de FENALTRASE, fundadora y directiva de la Central Unitaria de Trabajadores, CUT.En la actualidad, después de 17 años en el exilio, retomó la presidencia de la UP y el reto de recuperar la curul que ocupaba en el momento que la obligaron a salir del país. Fue Presidenta del cabildo distrital donde se destacó por su práctica democrática, su compromiso con la defensa del patrimonio público, los derechos de los trabajadores y de los sectores medios y populares.Tomado de: https://up.org.co/index.php/aida-avellaEnlace Sigep: https://bit.ly/2vjrnij",Aída Yolanda Avella Esquivel,Pacto Histórico Coalición,https://www.instagram.com/aidaavella/,https://www.facebook.com/aidaavellae,,,,https://twitter.com/AidaAvellaE,Circunscripción Nacional en Distrito Capital,Universitaria,Psicólogo/a,2022 - 2026,23 de enero de 1943,80,Sogamoso,Femenino,,633B Ed. Nuevo Congreso,382 3000 ext: 3671 - 3672 - 3710,,
